dataset_key,model_key,topic_proxy,sentiment,ngram_n,phrase,count,rank,group_total_count
all,bertimbau,delivery,negative,2,only delivered,51,17,25184
all,bertimbau,delivery,negative,2,still waiting,51,18,25184
all,bertimbau,delivery,negative,2,more than,49,19,25184
all,bertimbau,delivery,negative,2,only received,48,20,25184
all,bertimbau,delivery,negative,2,bought two,45,22,25184
all,bertimbau,delivery,negative,2,made purchase,45,21,25184
all,bertimbau,delivery,negative,2,deadline until,42,23,25184
all,bertimbau,delivery,negative,2,didn't deliver,41,24,25184
all,bertimbau,delivery,negative,2,took long,40,25,25184
all,bertimbau,delivery,negative,2,did deliver,39,26,25184
all,bertimbau,delivery,negative,2,what happened,38,27,25184
all,bertimbau,delivery,negative,2,only one,35,28,25184
all,bertimbau,delivery,negative,2,like know,34,29,25184
all,bertimbau,delivery,negative,2,money back,34,30,25184
all,bertimbau,delivery,negative,2,it's been,33,31,25184
all,bertimbau,delivery,negative,2,sent email,33,32,25184
all,bertimbau,delivery,negative,2,don't know,31,34,25184
all,bertimbau,delivery,negative,2,far nothing,31,33,25184
all,bertimbau,delivery,negative,2,far received,30,37,25184
all,bertimbau,delivery,negative,2,i'm still,30,35,25184
all,bertimbau,delivery,negative,2,takes long,30,36,25184
all,bertimbau,delivery,negative,2,didn't like,29,38,25184
all,bertimbau,delivery,negative,2,now received,29,39,25184
all,bertimbau,delivery,negative,2,yet been,28,40,25184
all,bertimbau,delivery,negative,2,deadline passed,27,45,25184
all,bertimbau,delivery,negative,2,didn't even,27,43,25184
all,bertimbau,delivery,negative,2,hasn't arrived,27,42,25184
all,bertimbau,delivery,negative,2,meet deadline,27,41,25184
all,bertimbau,delivery,negative,2,received yet,27,44,25184
all,bertimbau,delivery,negative,2,already been,25,46,25184
all,bertimbau,delivery,negative,2,recommend store,25,48,25184
all,bertimbau,delivery,negative,2,than days,25,47,25184
all,bertimbau,delivery,negative,2,purchase made,24,49,25184
all,bertimbau,delivery,negative,2,first time,23,52,25184
all,bertimbau,delivery,negative,2,lack respect,23,51,25184
all,bertimbau,delivery,negative,2,still received,23,53,25184
all,bertimbau,delivery,negative,2,time deliver,23,50,25184
all,bertimbau,delivery,negative,2,already paid,22,57,25184
all,bertimbau,delivery,negative,2,already sent,22,61,25184
all,bertimbau,delivery,negative,2,arrived time,22,58,25184
all,bertimbau,delivery,negative,2,arrived yet,22,59,25184
all,bertimbau,delivery,negative,2,delivered only,22,54,25184
all,bertimbau,delivery,negative,2,know what,22,55,25184
all,bertimbau,delivery,negative,2,received time,22,60,25184
all,bertimbau,delivery,negative,2,when will,22,56,25184
all,bertimbau,delivery,negative,2,arrive time,21,68,25184
all,bertimbau,delivery,negative,2,did meet,21,63,25184
all,bertimbau,delivery,negative,2,don't recommend,21,62,25184
all,bertimbau,delivery,negative,2,information about,21,67,25184
all,bertimbau,delivery,negative,2,lannister stores,21,66,25184
all,bertimbau,delivery,negative,2,received any,21,65,25184
all,bertimbau,delivery,negative,2,received one,21,64,25184
all,bertimbau,delivery,negative,2,after deadline,20,72,25184
all,bertimbau,delivery,negative,2,already expired,20,69,25184
all,bertimbau,delivery,negative,2,cancel purchase,20,71,25184
all,bertimbau,delivery,negative,2,delivered one,20,70,25184
all,bertimbau,delivery,negative,2,only gave,20,73,25184
all,bertimbau,delivery,negative,2,there problem,20,74,25184
all,bertimbau,delivery,negative,2,deadline expired,19,76,25184
all,bertimbau,delivery,negative,2,deliver time,19,75,25184
all,bertimbau,delivery,negative,2,it's past,19,77,25184
all,bertimbau,delivery,negative,2,another one,18,89,25184
all,bertimbau,delivery,negative,2,deadline already,18,78,25184
all,bertimbau,delivery,negative,2,didn't give,18,85,25184
all,bertimbau,delivery,negative,2,does deliver,18,83,25184
all,bertimbau,delivery,negative,2,don't deliver,18,84,25184
all,bertimbau,delivery,negative,2,expensive shipping,18,79,25184
all,bertimbau,delivery,negative,2,good morning,18,88,25184
all,bertimbau,delivery,negative,2,long deliver,18,86,25184
all,bertimbau,delivery,negative,2,still hasn't,18,87,25184
all,bertimbau,delivery,negative,2,two days,18,82,25184
all,bertimbau,delivery,negative,2,want money,18,81,25184
all,bertimbau,delivery,negative,2,within deadline,18,80,25184
all,bertimbau,delivery,negative,2,days late,17,92,25184
all,bertimbau,delivery,negative,2,i've been,17,91,25184
all,bertimbau,delivery,negative,2,received only,17,90,25184
all,bertimbau,delivery,negative,2,will deliver,17,93,25184
all,bertimbau,delivery,negative,2,about delay,16,96,25184
all,bertimbau,delivery,negative,2,ahead schedule,16,98,25184
all,bertimbau,delivery,negative,2,arrived before,16,97,25184
all,bertimbau,delivery,negative,2,even though,16,95,25184
all,bertimbau,delivery,negative,2,passed deadline,16,94,25184
all,bertimbau,delivery,negative,2,past deadline,16,101,25184
all,bertimbau,delivery,negative,2,supposed delivered,16,102,25184
all,bertimbau,delivery,negative,2,time purchase,16,99,25184
all,bertimbau,delivery,negative,2,working days,16,100,25184
all,bertimbau,delivery,negative,2,already passed,15,105,25184
all,bertimbau,delivery,negative,2,because paid,15,106,25184
all,bertimbau,delivery,negative,2,did come,15,107,25184
all,bertimbau,delivery,negative,2,don't buy,15,104,25184
all,bertimbau,delivery,negative,2,good afternoon,15,111,25184
all,bertimbau,delivery,negative,2,haven't delivered,15,114,25184
all,bertimbau,delivery,negative,2,never buy,15,103,25184
all,bertimbau,delivery,negative,2,receive home,15,108,25184
all,bertimbau,delivery,negative,2,time still,15,109,25184
all,bertimbau,delivery,negative,2,took while,15,110,25184
all,bertimbau,delivery,negative,2,two products,15,113,25184
all,bertimbau,delivery,negative,2,without any,15,112,25184
all,bertimbau,delivery,negative,2,almost month,14,116,25184
all,bertimbau,delivery,negative,2,buy lannister,14,115,25184
all,bertimbau,delivery,negative,2,date passed,14,117,25184
all,bertimbau,delivery,negative,2,days after,14,119,25184
all,bertimbau,delivery,negative,2,pay shipping,14,120,25184
all,bertimbau,delivery,negative,2,recommend because,14,118,25184
all,bertimbau,delivery,negative,3,still haven't received,101,1,22724
all,bertimbau,delivery,negative,3,pick post office,56,2,22724
all,bertimbau,delivery,negative,3,would like know,32,3,22724
all,bertimbau,delivery,negative,3,i'm still waiting,29,4,22724
all,bertimbau,delivery,negative,3,until now received,27,5,22724
all,bertimbau,delivery,negative,3,more than days,25,6,22724
all,bertimbau,delivery,negative,3,yet been delivered,23,7,22724
all,bertimbau,delivery,negative,3,took long time,21,8,22724
all,bertimbau,delivery,negative,3,long time deliver,20,9,22724
all,bertimbau,delivery,negative,3,takes long time,18,10,22724
all,bertimbau,delivery,negative,3,haven't received yet,17,12,22724
all,bertimbau,delivery,negative,3,want money back,17,11,22724
all,bertimbau,delivery,negative,3,did meet deadline,14,13,22724
all,bertimbau,delivery,negative,3,only received one,14,14,22724
all,bertimbau,delivery,negative,3,it's past deadline,13,16,22724
all,bertimbau,delivery,negative,3,know what happened,13,15,22724
all,bertimbau,delivery,negative,3,arrived before deadline,12,18,22724
all,bertimbau,delivery,negative,3,did arrive time,12,20,22724
all,bertimbau,delivery,negative,3,only delivered one,12,19,22724
all,bertimbau,delivery,negative,3,still hasn't arrived,12,17,22724
all,bertimbau,delivery,negative,3,because paid shipping,10,25,22724
all,bertimbau,delivery,negative,3,been more than,10,23,22724
all,bertimbau,delivery,negative,3,bought two products,10,24,22724
all,bertimbau,delivery,negative,3,until today received,10,22,22724
all,bertimbau,delivery,negative,3,will never buy,10,21,22724
all,bertimbau,delivery,negative,3,always buy lannister,9,29,22724
all,bertimbau,delivery,negative,3,deadline already expired,9,26,22724
all,bertimbau,delivery,negative,3,far been delivered,9,30,22724
all,bertimbau,delivery,negative,3,haven't received it's,9,31,22724
all,bertimbau,delivery,negative,3,know when will,9,27,22724
all,bertimbau,delivery,negative,3,like know what,9,33,22724
all,bertimbau,delivery,negative,3,more than month,9,34,22724
all,bertimbau,delivery,negative,3,only gave one,9,32,22724
all,bertimbau,delivery,negative,3,post office pick,9,28,22724
all,bertimbau,delivery,negative,3,already sent email,8,40,22724
all,bertimbau,delivery,negative,3,always bought lannister,8,41,22724
all,bertimbau,delivery,negative,3,didn't even give,8,43,22724
all,bertimbau,delivery,negative,3,gave another one,8,44,22724
all,bertimbau,delivery,negative,3,get money back,8,39,22724
all,bertimbau,delivery,negative,3,it's been over,8,36,22724
all,bertimbau,delivery,negative,3,lack respect consumer,8,38,22724
all,bertimbau,delivery,negative,3,paid expensive shipping,8,35,22724
all,bertimbau,delivery,negative,3,passed still haven't,8,42,22724
all,bertimbau,delivery,negative,3,takes long deliver,8,37,22724
all,bertimbau,delivery,negative,3,been over month,7,50,22724
all,bertimbau,delivery,negative,3,date passed still,7,49,22724
all,bertimbau,delivery,negative,3,deadline until now,7,48,22724
all,bertimbau,delivery,negative,3,deadline until today,7,47,22724
all,bertimbau,delivery,negative,3,deadline until until,7,45,22724
all,bertimbau,delivery,negative,3,give any satisfaction,7,58,22724
all,bertimbau,delivery,negative,3,hasn't arrived yet,7,57,22724
all,bertimbau,delivery,negative,3,left something desired,7,55,22724
all,bertimbau,delivery,negative,3,never any problems,7,54,22724
all,bertimbau,delivery,negative,3,paid shipping pick,7,52,22724
all,bertimbau,delivery,negative,3,paid shipping receive,7,51,22724
all,bertimbau,delivery,negative,3,post office paid,7,59,22724
all,bertimbau,delivery,negative,3,shipping pick post,7,53,22724
all,bertimbau,delivery,negative,3,until until now,7,46,22724
all,bertimbau,delivery,negative,3,when will deliver,7,56,22724
all,bertimbau,delivery,negative,3,already been paid,6,66,22724
all,bertimbau,delivery,negative,3,delivered before deadline,6,68,22724
all,bertimbau,delivery,negative,3,delivered post office,6,70,22724
all,bertimbau,delivery,negative,3,did arrive within,6,60,22724
all,bertimbau,delivery,negative,3,did receive within,6,79,22724
all,bertimbau,delivery,negative,3,don't recommend because,6,63,22724
all,bertimbau,delivery,negative,3,far haven't received,6,89,22724
all,bertimbau,delivery,negative,3,far received any,6,69,22724
all,bertimbau,delivery,negative,3,goods post office,6,64,22724
all,bertimbau,delivery,negative,3,haven't received deadline,6,78,22724
all,bertimbau,delivery,negative,3,home pick post,6,88,22724
all,bertimbau,delivery,negative,3,it's been days,6,81,22724
all,bertimbau,delivery,negative,3,it's been more,6,85,22724
all,bertimbau,delivery,negative,3,lack respect customer,6,86,22724
all,bertimbau,delivery,negative,3,like know why,6,67,22724
all,bertimbau,delivery,negative,3,only one came,6,77,22724
all,bertimbau,delivery,negative,3,paid shipping delivered,6,82,22724
all,bertimbau,delivery,negative,3,paid shipping didn't,6,75,22724
all,bertimbau,delivery,negative,3,period already expired,6,83,22724
all,bertimbau,delivery,negative,3,post office didn't,6,71,22724
all,bertimbau,delivery,negative,3,products only delivered,6,76,22724
all,bertimbau,delivery,negative,3,sent email saying,6,72,22724
all,bertimbau,delivery,negative,3,time still haven't,6,65,22724
all,bertimbau,delivery,negative,3,time took long,6,84,22724
all,bertimbau,delivery,negative,3,today haven't received,6,74,22724
all,bertimbau,delivery,negative,3,until now arrived,6,62,22724
all,bertimbau,delivery,negative,3,until today haven't,6,73,22724
all,bertimbau,delivery,negative,3,until today nothing,6,80,22724
all,bertimbau,delivery,negative,3,want cancel purchase,6,61,22724
all,bertimbau,delivery,negative,3,went post office,6,87,22724
all,bertimbau,delivery,negative,3,arrived ahead schedule,5,108,22724
all,bertimbau,delivery,negative,3,because post office,5,92,22724
all,bertimbau,delivery,negative,3,been delivered deadline,5,103,22724
all,bertimbau,delivery,negative,3,been delivered yet,5,110,22724
all,bertimbau,delivery,negative,3,deadline passed received,5,117,22724
all,bertimbau,delivery,negative,3,deadline passed still,5,120,22724
all,bertimbau,delivery,negative,3,deadline until far,5,119,22724
all,bertimbau,delivery,negative,3,didn't even get,5,109,22724
all,bertimbau,delivery,negative,3,didn't give any,5,98,22724
all,bertimbau,delivery,negative,3,didn't receive home,5,94,22724
all,bertimbau,delivery,negative,3,don't know what,5,107,22724
all,bertimbau,delivery,negative,3,don't know why,5,112,22724
all,bertimbau,delivery,negative,3,i've always bought,5,114,22724
all,bertimbau,delivery,negative,3,i've been waiting,5,96,22724
all,bertimbau,delivery,negative,3,pick goods post,5,95,22724
all,bertimbau,delivery,negative,3,post office don't,5,102,22724
all,bertimbau,delivery,negative,3,post office will,5,91,22724
all,bertimbau,delivery,negative,3,received before deadline,5,111,22724
all,bertimbau,delivery,negative,3,sent several emails,5,115,22724
all,bertimbau,delivery,negative,3,shipping didn't receive,5,106,22724
all,bertimbau,delivery,negative,3,still haven't delivered,5,113,22724
all,bertimbau,delivery,negative,3,still waiting delivered,5,97,22724
all,bertimbau,delivery,negative,3,today been delivered,5,101,22724
all,bertimbau,delivery,negative,3,today still haven't,5,104,22724
all,bertimbau,delivery,negative,3,took while deliver,5,99,22724
all,bertimbau,delivery,negative,3,until present date,5,100,22724
all,bertimbau,delivery,negative,3,until today still,5,116,22724
all,bertimbau,delivery,negative,3,well ahead schedule,5,118,22724
all,bertimbau,delivery,negative,3,well before deadline,5,93,22724
all,bertimbau,delivery,negative,3,when made purchase,5,105,22724
all,bertimbau,delivery,negative,3,when will arrive,5,90,22724
all,bertimbau,delivery,neutral,1,time,357,1,9126
all,bertimbau,delivery,neutral,1,delivered,180,2,9126
all,bertimbau,delivery,neutral,1,arrived,153,3,9126
all,bertimbau,delivery,neutral,1,deadline,143,4,9126
all,bertimbau,delivery,neutral,1,received,128,5,9126
all,bertimbau,delivery,neutral,1,shipping,125,6,9126
all,bertimbau,delivery,neutral,1,long,114,7,9126
all,bertimbau,delivery,neutral,1,good,105,8,9126
all,bertimbau,delivery,neutral,1,came,104,9,9126
all,bertimbau,delivery,neutral,1,because,90,10,9126
all,bertimbau,delivery,neutral,1,before,87,11,9126
all,bertimbau,delivery,neutral,1,post,87,12,9126
all,bertimbau,delivery,neutral,1,office,85,14,9126
all,bertimbau,delivery,neutral,1,only,85,13,9126
all,bertimbau,delivery,neutral,1,one,83,15,9126
all,bertimbau,delivery,neutral,1,bought,72,17,9126
all,bertimbau,delivery,neutral,1,deliver,72,16,9126
all,bertimbau,delivery,neutral,1,store,67,18,9126
all,bertimbau,delivery,neutral,1,fast,65,19,9126
all,bertimbau,delivery,neutral,1,took,65,20,9126
all,bertimbau,delivery,neutral,1,still,57,22,9126
all,bertimbau,delivery,neutral,1,would,57,21,9126
all,bertimbau,delivery,neutral,1,there,53,23,9126
all,bertimbau,delivery,neutral,1,purchase,52,24,9126
all,bertimbau,delivery,neutral,1,delay,51,27,9126
all,bertimbau,delivery,neutral,1,didn't,51,26,9126
all,bertimbau,delivery,neutral,1,like,51,28,9126
all,bertimbau,delivery,neutral,1,products,51,25,9126
all,bertimbau,delivery,neutral,1,did,50,29,9126
all,bertimbau,delivery,neutral,1,pick,49,30,9126
all,bertimbau,delivery,neutral,1,days,47,31,9126
all,bertimbau,delivery,neutral,1,well,47,33,9126
all,bertimbau,delivery,neutral,1,within,47,32,9126
all,bertimbau,delivery,neutral,1,paid,46,34,9126
all,bertimbau,delivery,neutral,1,even,42,36,9126
all,bertimbau,delivery,neutral,1,yet,42,35,9126
all,bertimbau,delivery,neutral,1,made,41,38,9126
all,bertimbau,delivery,neutral,1,two,41,37,9126
all,bertimbau,delivery,neutral,1,been,40,41,9126
all,bertimbau,delivery,neutral,1,than,40,39,9126
all,bertimbau,delivery,neutral,1,waiting,40,40,9126
all,bertimbau,delivery,neutral,1,could,39,42,9126
all,bertimbau,delivery,neutral,1,however,39,43,9126
all,bertimbau,delivery,neutral,1,more,38,45,9126
all,bertimbau,delivery,neutral,1,recommend,38,44,9126
all,bertimbau,delivery,neutral,1,quality,37,46,9126
all,bertimbau,delivery,neutral,1,same,36,47,9126
all,bertimbau,delivery,neutral,1,haven't,35,49,9126
all,bertimbau,delivery,neutral,1,should,35,48,9126
all,bertimbau,delivery,neutral,1,buy,34,50,9126
all,bertimbau,delivery,neutral,1,i'm,34,51,9126
all,bertimbau,delivery,neutral,1,it's,34,52,9126
all,bertimbau,delivery,neutral,1,lannister,33,53,9126
all,bertimbau,delivery,neutral,1,which,33,54,9126
all,bertimbau,delivery,neutral,1,little,32,57,9126
all,bertimbau,delivery,neutral,1,other,32,56,9126
all,bertimbau,delivery,neutral,1,problem,32,58,9126
all,bertimbau,delivery,neutral,1,thought,32,55,9126
all,bertimbau,delivery,neutral,1,arrive,31,59,9126
all,bertimbau,delivery,neutral,1,everything,31,60,9126
all,bertimbau,delivery,neutral,1,expected,31,61,9126
all,bertimbau,delivery,neutral,1,expensive,30,64,9126
all,bertimbau,delivery,neutral,1,great,30,62,9126
all,bertimbau,delivery,neutral,1,receive,30,63,9126
all,bertimbau,delivery,neutral,1,when,29,65,9126
all,bertimbau,delivery,neutral,1,day,27,69,9126
all,bertimbau,delivery,neutral,1,does,27,66,9126
all,bertimbau,delivery,neutral,1,don't,27,68,9126
all,bertimbau,delivery,neutral,1,what,27,67,9126
all,bertimbau,delivery,neutral,1,another,26,72,9126
all,bertimbau,delivery,neutral,1,correct,26,70,9126
all,bertimbau,delivery,neutral,1,date,26,71,9126
all,bertimbau,delivery,neutral,1,late,26,73,9126
all,bertimbau,delivery,neutral,1,about,25,78,9126
all,bertimbau,delivery,neutral,1,missing,25,77,9126
all,bertimbau,delivery,neutral,1,price,25,75,9126
all,bertimbau,delivery,neutral,1,sent,25,74,9126
all,bertimbau,delivery,neutral,1,think,25,76,9126
all,bertimbau,delivery,neutral,1,after,24,79,9126
all,bertimbau,delivery,neutral,1,liked,24,80,9126
all,bertimbau,delivery,neutral,1,already,23,85,9126
all,bertimbau,delivery,neutral,1,due,23,81,9126
all,bertimbau,delivery,neutral,1,know,23,83,9126
all,bertimbau,delivery,neutral,1,period,23,82,9126
all,bertimbau,delivery,neutral,1,without,23,84,9126
all,bertimbau,delivery,neutral,1,ahead,22,87,9126
all,bertimbau,delivery,neutral,1,need,22,86,9126
all,bertimbau,delivery,neutral,1,schedule,22,88,9126
all,bertimbau,delivery,neutral,1,company,21,93,9126
all,bertimbau,delivery,neutral,1,condition,21,92,9126
all,bertimbau,delivery,neutral,1,faster,21,94,9126
all,bertimbau,delivery,neutral,1,home,21,91,9126
all,bertimbau,delivery,neutral,1,website,21,89,9126
all,bertimbau,delivery,neutral,1,will,21,90,9126
all,bertimbau,delivery,neutral,1,color,20,95,9126
all,bertimbau,delivery,neutral,1,exchange,20,96,9126
all,bertimbau,delivery,neutral,1,much,20,99,9126
all,bertimbau,delivery,neutral,1,out,20,97,9126
all,bertimbau,delivery,neutral,1,packaged,20,100,9126
all,bertimbau,delivery,neutral,1,perfect,20,98,9126
all,bertimbau,delivery,neutral,1,goods,19,101,9126
all,bertimbau,delivery,neutral,1,invoice,19,102,9126
all,bertimbau,delivery,neutral,1,problems,19,103,9126
all,bertimbau,delivery,neutral,1,almost,18,104,9126
all,bertimbau,delivery,neutral,1,box,18,112,9126
all,bertimbau,delivery,neutral,1,come,18,109,9126
all,bertimbau,delivery,neutral,1,despite,18,108,9126
all,bertimbau,delivery,neutral,1,different,18,106,9126
all,bertimbau,delivery,neutral,1,found,18,110,9126
all,bertimbau,delivery,neutral,1,purchased,18,107,9126
all,bertimbau,delivery,neutral,1,satisfied,18,111,9126
all,bertimbau,delivery,neutral,1,site,18,105,9126
all,bertimbau,delivery,neutral,1,having,17,115,9126
all,bertimbau,delivery,neutral,1,mail,17,116,9126
all,bertimbau,delivery,neutral,1,some,17,113,9126
all,bertimbau,delivery,neutral,1,takes,17,117,9126
all,bertimbau,delivery,neutral,1,unfortunately,17,114,9126
all,bertimbau,delivery,neutral,1,beautiful,16,119,9126
all,bertimbau,delivery,neutral,1,super,16,118,9126
all,bertimbau,delivery,neutral,1,while,16,120,9126
all,bertimbau,delivery,neutral,2,post office,85,1,8181
all,bertimbau,delivery,neutral,2,before deadline,57,2,8181
all,bertimbau,delivery,neutral,2,delivered time,54,3,8181
all,bertimbau,delivery,neutral,2,arrived time,46,4,8181
all,bertimbau,delivery,neutral,2,long time,46,5,8181
all,bertimbau,delivery,neutral,2,took long,33,6,8181
all,bertimbau,delivery,neutral,2,pick post,27,7,8181
all,bertimbau,delivery,neutral,2,paid shipping,22,10,8181
all,bertimbau,delivery,neutral,2,received time,22,9,8181
all,bertimbau,delivery,neutral,2,time long,22,8,8181
all,bertimbau,delivery,neutral,2,ahead schedule,21,11,8181
all,bertimbau,delivery,neutral,2,i'm waiting,18,12,8181
all,bertimbau,delivery,neutral,2,arrived before,17,13,8181
